,train,annot,val,test
96,N004a137,True,,
97,N005a001,False,,
98,N005a002,False,,
99,N005a003,True,,
100,N005a004,False,,
101,N005a005,False,,
102,N005a006,False,,
103,N005a007,False,,
104,N005a008,False,,
105,N005a010,False,,
106,N005a012,False,,
107,N005a013,False,,
108,N005a014,False,,
109,N005a015,False,,
110,N005a017,True,,
111,N005a018,False,,
112,N005a019,False,,
113,N005a021,False,,
114,N005a022,False,,
115,N006a001,False,,
116,N006a004,False,,
117,N006a006,True,,
118,N006a007,False,,
119,N006a008,False,,
120,N006a009,False,,
121,N006a010,False,,
122,N007a001,False,,
123,N007a002,False,,
124,N007a003,False,,
125,N007a004,False,,
126,N009a001,True,,
127,N009a002,False,,
128,N009a005,False,,
129,N009a006,False,,
130,N011a001,True,,
131,N011a002,False,,
132,N011a004,False,,
133,N011a006,False,,
134,N011a007,False,,
135,N011a008,False,,
136,N011a009,False,,
137,N011a010,False,,
138,N012a002,False,,
139,N012a003,False,,
140,N012a005,False,,
141,N012a006,False,,
142,N012a008,False,,
143,N012a009,False,,
144,N012a010,False,,
145,N012a012,False,,
146,N012a015,True,,
147,N012a016,False,,
148,N012a017,False,,
149,N012a019,False,,
150,N017a001,False,,
151,F006a10,False,,
152,F030a12,False,,
153,F030a13,False,,
154,F030a15,False,,
155,F030a17,True,,
156,F030a18,True,,
157,F033a03,False,,
158,F007a01,False,,
159,F033a09,True,,
160,F033a10,False,,
161,F033a11,True,,
162,F033a12,False,,
163,F033a13,False,,
164,F033a15,False,,
165,F033a16,False,,
166,F033a17,False,,
167,F033a19,False,,
168,F033a20,True,,
169,F033a21,False,,
170,F033a22,False,,
171,F033a23,False,,
172,F033a24,True,,
173,F033a25,False,,
174,F033a26,False,,
175,F007a03,True,,
176,F033a27,False,,
177,F033a28,False,,
178,F033a29,True,,
179,F034a05,False,,
180,F034a06,False,,
181,F034a07,True,,
182,F034a08,False,,
183,F034a10,True,,
184,F034a11,False,,
185,F050a02,True,,
186,F050a03,False,,
187,F052a01,False,,
188,F052a02,False,,
189,F052a03,False,,
190,F052a06,False,,
191,F052a07,True,,
192,F052a08,False,,
193,F052a09,True,,
194,F052a11,False,,
195,F052a12,False,,
196,F052a13,False,,
197,F052a15,False,,
198,F007a06,True,,
199,F052a16,False,,
200,F052a18,False,,
201,F052a19,False,,
202,F052a20,True,,
203,F053a01,False,,
204,F053a03,False,,
205,F053a04,True,,
206,F053a05,False,,
207,F007a07,False,,
208,F053a07,False,,
209,F053a08,False,,
210,F053a09,False,,
211,F053a11,False,,
212,F053a12,False,,
213,F053a14,True,,
214,F053a15,False,,
215,F053a17,True,,
216,F053a18,False,,
217,F053a19,False,,
218,F056a01,False,,
219,F056a04,True,,
220,F056a05,False,,
221,F056a06,False,,
222,F007a09,False,,
223,F056a08,True,,
224,F056a10,False,,
225,F056a11,False,,
226,F056a12,True,,
227,F056a13,True,,
228,F056a14,False,,
229,F056a15,False,,
230,F006a02,False,,
231,F007a10,False,,
232,F057a01,False,,
233,F058a01,False,,
234,F058a04,True,,
235,F058a05,False,,
236,F007a11,False,,
237,F007a13,True,,
238,F007a15,True,,
239,F007a17,True,,
240,F007a19,False,,
241,F007a21,False,,
242,F006a03,False,,
243,F007a22,True,,
244,F009a01,False,,
245,F009a02,False,,
246,F009a03,False,,
247,F010a01,False,,
248,F010a02,True,,
249,F010a03,True,,
250,F010a04,False,,
251,F010a05,False,,
252,F006a04,False,,
253,F012a01,True,,
254,F013a03,False,,
255,F006a05,False,,
256,F013a04,False,,
257,F013a06,False,,
258,F013a07,True,,
259,F013a08,False,,
260,F013a09,True,,
261,F013a10,False,,
262,F013a12,False,,
263,F013a13,True,,
264,F006a06,False,,
265,F013a15,False,,
266,F017a01,False,,
267,F017a04,False,,
268,F017a05,True,,
269,F017a06,False,,
270,F017a08,True,,
271,F017a09,False,,
272,F006a07,False,,
273,F017a10,True,,
274,F018a01,False,,
275,F018a02,False,,
276,F018a03,True,,
277,F018a07,False,,
278,F018a08,True,,
279,F006a08,True,,
280,F018a10,True,,
281,F018a11,True,,
282,F018a12,False,,
283,F018a13,False,,
284,F021a02,False,,
285,F021a03,True,,
286,F021a04,False,,
287,F021a05,False,,
288,F030a01,False,,
289,F030a03,False,,
290,F030a04,False,,
291,F030a05,False,,
292,F030a06,True,,
293,F030a07,True,,
294,F030a08,False,,
295,F030a09,False,,
296,F030a10,False,,
