,train,annot,val,test
145,N012a013,False,,
146,N012a014,False,,
147,N012a016,False,,
148,N012a019,False,,
149,N012a020,False,,
150,N017a001,False,,
151,F005a02,False,,
152,F006a01,True,,
153,F006a10,False,,
154,F030a12,False,,
155,F030a13,True,,
156,F030a14,True,,
157,F030a15,True,,
158,F030a18,True,,
159,F033a01,False,,
160,F033a02,True,,
161,F033a03,False,,
162,F033a04,False,,
163,F033a09,False,,
164,F033a10,False,,
165,F033a11,False,,
166,F033a14,False,,
167,F033a15,True,,
168,F033a16,False,,
169,F007a02,False,,
170,F033a17,False,,
171,F033a19,True,,
172,F033a20,False,,
173,F033a22,False,,
174,F007a03,False,,
175,F033a27,False,,
176,F033a29,False,,
177,F034a05,False,,
178,F034a06,True,,
179,F034a08,False,,
180,F007a04,False,,
181,F048a01,False,,
182,F048a02,False,,
183,F050a01,True,,
184,F050a02,False,,
185,F050a03,False,,
186,F052a01,False,,
187,F052a02,False,,
188,F052a03,True,,
189,F052a04,True,,
190,F007a05,True,,
191,F052a06,False,,
192,F052a07,True,,
193,F052a08,False,,
194,F052a09,False,,
195,F052a13,False,,
196,F052a14,False,,
197,F007a06,False,,
198,F052a16,False,,
199,F052a17,False,,
200,F052a18,False,,
201,F052a19,False,,
202,F053a03,False,,
203,F053a05,False,,
204,F007a07,True,,
205,F053a06,False,,
206,F053a08,False,,
207,F053a09,True,,
208,F053a10,True,,
209,F053a11,False,,
210,F053a12,False,,
211,F053a13,False,,
212,F053a14,False,,
213,F053a15,False,,
214,F007a08,False,,
215,F053a18,False,,
216,F053a19,False,,
217,F056a04,False,,
218,F056a06,False,,
219,F007a09,False,,
220,F056a07,False,,
221,F056a08,False,,
222,F056a09,True,,
223,F056a10,True,,
224,F056a12,False,,
225,F056a14,False,,
226,F056a15,True,,
227,F056a16,False,,
228,F006a02,False,,
229,F007a10,False,,
230,F057a01,False,,
231,F058a02,False,,
232,F058a04,False,,
233,F058a05,True,,
234,F007a11,False,,
235,F007a12,False,,
236,F007a13,False,,
237,F007a15,False,,
238,F007a16,False,,
239,F007a17,False,,
240,F007a18,False,,
241,F007a19,False,,
242,F007a21,False,,
243,F006a03,False,,
244,F007a22,False,,
245,F009a04,True,,
246,F010a01,True,,
247,F010a02,False,,
248,F010a03,False,,
249,F010a05,False,,
250,F006a04,False,,
251,F011a01,False,,
252,F012a01,True,,
253,F012a02,False,,
254,F012a03,False,,
255,F013a01,False,,
256,F013a03,False,,
257,F013a04,False,,
258,F013a05,False,,
259,F013a06,False,,
260,F013a07,True,,
261,F013a08,True,,
262,F013a09,False,,
263,F013a11,True,,
264,F013a13,False,,
265,F006a06,True,,
266,F017a01,True,,
267,F017a02,False,,
268,F017a04,False,,
269,F017a05,True,,
270,F017a09,True,,
271,F006a07,False,,
272,F018a02,False,,
273,F018a03,True,,
274,F018a04,True,,
275,F018a05,True,,
276,F018a06,False,,
277,F018a07,False,,
278,F018a08,True,,
279,F018a09,False,,
280,F006a08,True,,
281,F018a11,True,,
282,F018a13,False,,
283,F021a01,True,,
284,F021a02,False,,
285,F021a03,False,,
286,F021a04,True,,
287,F021a05,False,,
288,F030a01,False,,
289,F006a09,False,,
290,F030a02,True,,
291,F030a03,False,,
292,F030a04,True,,
293,F030a05,True,,
294,F030a07,True,,
295,F030a09,False,,
296,F030a11,True,,
